#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
299,6665,11,10.0,0.0009496184
300,6694,29,28.0,0.019689262
301,6714,20,19.0,0.0004299087
302,6729,15,14.0,0.010316676
303,6745,16,15.0,0.010897807
304,6766,21,20.0,0.010960385
305,6783,17,16.0,0.0108257495
306,6794,11,10.0,0.010625703
307,6811,17,16.0,0.0103816055
308,6824,13,12.0,0.04942789
309,6842,18,17.0,0.009336165
310,6861,19,18.0,0.0005692266
311,6881,20,19.0,0.000801315
312,6899,18,17.0,0.010549054
313,6909,10,9.0,0.0592266
314,6939,30,29.0,0.0010520013
315,6952,13,12.0,0.010433818
316,6971,19,18.0,0.0396446
317,6987,16,15.0,0.0105515765
318,7001,14,13.0,0.010985069
319,7049,48,47.0,0.009416135
320,7066,17,16.0,0.032534096
321,7086,20,19.0,0.00085023954
322,7109,23,22.0,0.020573966
323,7128,19,18.0,0.011176861
324,7165,37,36.0,0.010886035
325,7187,22,21.0,0.019915486
326,7209,22,21.0,0.0101559255
327,7226,17,16.0,0.009995297
328,7253,27,26.0,0.010682407
329,7272,19,18.0,0.010225838
330,7300,28,27.0,0.019995334
331,7313,13,12.0,0.00044507632
332,7337,24,23.0,0.03843721
333,7349,12,11.0,0.018559456
334,7362,13,12.0,0.018858097
335,7378,16,15.0,0.01846774
336,7388,10,9.0,0.027926095
337,7431,43,42.0,0.0007513496
338,7448,17,16.0,0.010021204
339,7458,10,9.0,0.009789774
340,7486,28,27.0,0.029786097
341,7498,12,11.0,0.030086733
342,7514,16,15.0,0.00059600297
343,7533,19,18.0,0.01804521
344,7545,12,11.0,0.028617935
345,7561,16,15.0,0.01982968
346,7602,41,40.0,0.028988427
347,7623,21,20.0,0.010336708
348,7648,25,24.0,0.00054629275
349,7669,21,20.0,0.02045415
350,7696,27,26.0,0.019770175
351,7712,16,15.0,0.017930878
352,7736,24,23.0,0.0010053759
353,7764,28,27.0,0.010861987
354,7784,20,19.0,0.00073219463
355,7794,10,9.0,0.020845149
356,7804,10,9.0,0.0010796359
357,7820,16,15.0,0.01811338
358,7858,38,37.0,0.0009005356
359,7885,27,26.0,0.01921348
360,7909,24,23.0,0.0009192356
361,7920,11,10.0,0.020093627
362,7944,24,23.0,0.03831878
363,7964,20,19.0,0.0009683292
364,7975,11,10.0,0.037812676
365,7992,17,16.0,0.0006396534
366,8004,12,11.0,0.0006132746
367,8017,13,12.0,0.02789636
368,8029,12,11.0,0.0389029
369,8039,10,9.0,0.01938407
370,8054,15,14.0,0.010281937
371,8064,10,9.0,0.017511614
372,8080,16,15.0,0.01897838
373,8089,9,8.0,0.018953439
374,8116,27,26.0,0.017457593
375,8128,12,11.0,0.00097413146
376,8161,33,32.0,0.027192365
377,8211,50,49.0,0.018500136
378,8239,28,27.0,0.011599586
379,8254,15,14.0,0.010322377
380,8279,25,24.0,0.008907822
381,8297,18,17.0,0.019584876
382,8309,12,11.0,0.00079874287
383,8327,18,17.0,0.011479061
384,8344,17,16.0,0.0076448065
385,8356,12,11.0,0.019049695
386,8373,17,16.0,0.027304342
387,8387,14,13.0,0.010021731
388,8418,31,30.0,0.010107683
389,8436,18,17.0,0.010765671
390,8459,23,22.0,0.009819039
391,8481,22,21.0,0.02848138
392,8533,52,51.0,0.009115044
393,8561,28,27.0,0.0010104724
394,8579,18,17.0,0.019085655
395,8603,24,23.0,0.010863011
396,8619,16,15.0,0.01815644
397,8638,19,18.0,0.010389077
398,8678,40,39.0,0.01661506
399,8705,27,26.0,0.007997297
400,8726,21,20.0,0.017037552
401,8736,10,9.0,0.0264218
402,8755,19,18.0,0.03892871
403,8767,12,11.0,0.04370159
404,8784,17,16.0,0.009842026
405,8799,15,14.0,0.020216338
406,8818,19,18.0,0.021018265
407,8839,21,20.0,0.008940174
408,8858,19,18.0,0.009411883
409,8874,16,15.0,0.029608775
410,8885,11,10.0,0.0248764
411,8905,20,19.0,0.020408602
412,8919,14,13.0,0.0080626765
413,8985,66,65.0,0.018183067
414,9000,15,14.0,0.010901059
415,9015,15,14.0,0.00085333246
