EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
282,6519,22,explore,0.8631999999999476,0,21.0,[[14.366886 17.517769]],24.41,0.6077933102846146
283,6559,40,explore,0.8595999999999462,1,39.0,[[22.880102 23.94603 ]],24.47,0.6967188754677772
284,6569,10,explore,0.8586999999999458,1,9.0,-1,24.69,0.19300494939088822
285,6582,13,explore,0.8575299999999454,1,12.0,[[22.602266 19.047194]],24.6,0.3076143145561218
286,6600,18,explore,0.8559099999999448,1,18.0,[[17.875298 15.784303]],24.28,0.5724945956468582
286,6613,31,explore,0.8547399999999443,1,30.0,[[23.775734 23.802862]],24.28,0.861587076485157
287,6641,28,explore,0.8522199999999434,0,27.0,[[13.372084 10.749289]],24.35,1.0158046010136603
288,6652,11,explore,0.851229999999943,0,10.0,[[ 3.3745065 -2.9038596]],24.48,0.3103846168518066
289,6666,14,explore,0.8499699999999425,0,13.0,[[13.202566  7.121239]],24.26,0.4053870385885239
290,6736,70,explore,0.8436699999999401,0,69.0,[[22.151579 26.213753]],24.27,2.3216050773859025
291,6778,42,explore,0.8398899999999386,1,41.0,[[14.719686 10.1822  ]],24.76,1.0732605755329132
292,6790,12,explore,0.8388099999999382,1,11.0,[[-1.0807159  3.5665243]],24.76,0.3131875765323639
293,6800,10,explore,0.8379099999999379,1,10.0,[[28.435682 29.6234  ]],24.68,0.37100872486829756
293,6856,66,explore,0.8328699999999359,1,65.0,[[13.935636  9.086353]],24.68,1.8938338923454285
294,6931,75,explore,0.8261199999999334,0,74.0,[[-3.5856094  1.6578004]],25.19,2.368415940105915
295,6985,54,explore,0.8212599999999315,0,53.0,[[15.862473 12.751268]],25.75,1.1828071671724318
296,7000,15,explore,0.819909999999931,1,15.0,[[32.77458  31.947716]],26.1,0.36920489311218263
296,7014,29,explore,0.8186499999999305,1,28.0,[[32.34123  32.436527]],26.1,0.6329350224137307
297,7030,16,explore,0.8172099999999299,1,15.0,[[16.107386 22.71763 ]],26.17,0.3714370766282082
298,7048,18,explore,0.8155899999999293,1,17.0,[[35.824696 33.42382 ]],25.64,0.34083330154418945
299,7110,62,explore,0.8100099999999272,0,61.0,[[28.70185  24.601326]],25.52,1.2979368874430657
300,7135,25,explore,0.8077599999999263,0,24.0,[[31.440075 35.04345 ]],25.93,0.6353638702630997
301,7177,42,explore,0.8039799999999249,1,41.0,[[11.805987 16.986792]],26.01,0.9752056053280831
302,7200,23,explore,0.8019099999999241,0,23.0,[[22.216825 26.506418]],26.14,0.5323954021930695
302,7299,122,explore,0.7929999999999207,0,121.0,[[37.22229  38.465366]],26.14,2.778237471580505
303,7317,18,explore,0.79137999999992,1,17.0,[[ 7.0686636 13.069395 ]],27.18,0.49723188519477846
304,7347,30,explore,0.788679999999919,1,29.0,[[17.184277  9.560697]],27.04,0.5992718282341957
305,7393,46,explore,0.7845399999999174,1,45.0,[[34.97413 31.85136]],27.14,0.8992684537172317
306,7400,7,explore,0.7839099999999172,0,7.0,[[36.649754 36.465385]],27.46,0.16094183564186096
306,7405,12,explore,0.783459999999917,0,11.0,[[36.649754 36.465385]],27.46,0.4353471183776855
307,7416,11,explore,0.7824699999999166,1,10.0,-1,27.43,0.27036171317100527
308,7473,57,explore,0.7773399999999147,1,56.0,[[41.447906 37.31257 ]],27.32,1.5158391273021699
309,7545,72,explore,0.7708599999999122,1,71.0,[[ 7.7859383 16.802406 ]],27.6,1.6763805404305459
310,7590,45,explore,0.7668099999999106,1,44.0,[[18.077158 31.124868]],28.2,1.145169974565506
311,7600,10,explore,0.7659099999999103,1,10.0,[[41.757675 39.18101 ]],28.45,0.21073742508888244
311,7640,50,explore,0.7623099999999089,0,49.0,[[15.651342  8.615836]],28.45,0.9148846498131752
312,7663,23,explore,0.7602399999999081,0,22.0,[[23.290623 15.484498]],28.84,0.7314428287744522
313,7678,15,explore,0.7588899999999076,1,14.0,[[ 6.9282017 18.379492 ]],28.71,0.7056460720300675
314,7708,30,explore,0.7561899999999065,1,29.0,[[13.308483 21.21867 ]],28.51,1.6114219427108765
315,7749,41,explore,0.7524999999999051,0,40.0,[[24.208006 34.499622]],28.6,1.7333741533756255
316,7800,51,explore,0.7479099999999034,1,51.0,[[47.316402 46.279156]],28.88,1.7166692477464676
316,7819,70,explore,0.7461999999999027,1,69.0,[[16.730852 28.067818]],28.88,2.1801134079694746
317,7833,14,explore,0.7449399999999022,0,13.0,[[43.7252   45.201515]],29.43,0.4717161911725998
318,7912,79,explore,0.7378299999998995,1,78.0,[[ 9.777253 16.589064]],29.46,2.2594681334495545
319,7938,26,explore,0.7354899999998986,1,25.0,[[-1.4206262  2.663905 ]],29.95,0.8092288970947266
320,7957,19,explore,0.733779999999898,1,18.0,[[30.083323 40.75047 ]],30.06,0.5282689100503921
321,7968,11,explore,0.7327899999998976,0,10.0,[[18.720222 10.91332 ]],29.99,0.3911291974782944
322,8000,32,explore,0.7299099999998965,1,32.0,[[46.699436 47.7336  ]],29.98,1.341885457634926
