#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
528,27018,601,600.0,10.342869
529,27356,338,337.0,6.996277
530,27502,146,145.0,66.06102
531,27611,109,108.0,6.3555293
532,27846,235,234.0,6.7531586
533,28152,306,305.0,160.48787
534,28473,321,320.0,13.409563
535,28746,273,272.0,44.219345
536,28984,238,237.0,2.5656009
537,29317,333,332.0,7.911994
538,29544,227,226.0,3.3874946
539,29899,355,354.0,3.8204486
540,30139,240,239.0,5.9327526
541,30379,240,239.0,10.809474
542,30520,141,140.0,3.1422753
543,30672,152,151.0,1.7745726
544,30897,225,224.0,3.42768
545,31165,268,267.0,5.8069515
546,31384,219,218.0,2.260006
547,31581,197,196.0,8.644524
548,31697,116,115.0,11.540426
549,31711,14,13.0,5.4162264
550,31944,233,232.0,2.475493
551,32099,155,154.0,2.83645
552,32244,145,144.0,4.528253
553,32444,200,199.0,300.08954
554,32608,164,163.0,4.0317774
555,32763,155,154.0,13.402609
556,32967,204,203.0,4.9676275
557,33160,193,192.0,2.8632178
558,33322,162,161.0,1.4260459
559,33466,144,143.0,10.220837
560,33823,357,356.0,6.520798
561,34119,296,295.0,2.9397519
562,34599,480,479.0,16.803165
563,34638,39,38.0,2.4089384
564,34663,25,24.0,6.0422974
565,34853,190,189.0,122.58683
566,35091,238,237.0,6.161688
567,35227,136,135.0,1.1360548
568,35422,195,194.0,36.261505
569,35540,118,117.0,2.8945997
570,35637,97,96.0,4.852338
571,35769,132,131.0,10.326475
572,36043,274,273.0,1.278502
573,36233,190,189.0,6.5309496
574,36392,159,158.0,8.610291
575,36525,133,132.0,160.37892
576,36913,388,387.0,139.61938
577,37180,267,266.0,2.2873285
578,37459,279,278.0,10.795017
579,38052,593,592.0,17.29966
580,38191,139,138.0,9.523029
581,38360,169,168.0,8.386036
582,38468,108,107.0,1.3692242
583,38564,96,95.0,2.3061547
584,38709,145,144.0,3.853599
585,38815,106,105.0,1.1813155
586,38987,172,171.0,3.5721326
587,39084,97,96.0,2.8123043
588,39251,167,166.0,2.084319
589,39351,100,99.0,1.3562739
590,39679,328,327.0,104.810356
591,40175,496,495.0,1.542175
592,41517,1342,1341.0,4.30985
593,41597,80,79.0,4.4524636
594,41782,185,184.0,1.8951077
595,41971,189,188.0,2.4657884
596,42147,176,175.0,13.848906
597,42296,149,148.0,2.3155265
598,42406,110,109.0,3.4337912
599,42755,349,348.0,8.433919
600,42913,158,157.0,3.4351962
601,42955,42,41.0,7.852426
602,43198,243,242.0,6.9838285
603,43216,18,17.0,2.1939013
604,43288,72,71.0,7.0234213
605,43355,67,66.0,156.82468
606,43725,370,369.0,1.7047122
607,43785,60,59.0,11.803324
608,43880,95,94.0,4.106372
609,43977,97,96.0,8.967807
610,44217,240,239.0,0.621556
611,44531,314,313.0,5.9776626
612,44553,22,21.0,1.44135
613,44591,38,37.0,4.036371
614,44684,93,92.0,4.3381567
615,44696,12,11.0,1.6913905
616,45236,540,539.0,10.256098
617,46651,1415,1414.0,23.994623
618,46680,29,28.0,18.591635
619,46868,188,187.0,5.3888607
620,47797,929,928.0,2.2405074
621,49139,1342,1341.0,6.4987683
622,49168,29,28.0,8.54565
623,49380,212,211.0,2.8704388
624,49553,173,172.0,4.4435606
625,49725,172,171.0,2.445637
626,50396,671,670.0,3.0387182
627,50831,435,434.0,7.2372785
628,51585,754,753.0,0.921674
629,52744,1159,1158.0,3.4164562
630,53100,356,355.0,4.215472
631,53565,465,464.0,7.812606
632,53718,153,152.0,4.1951065
633,54064,346,345.0,6.3180413
634,54327,263,262.0,1.4601372
635,54527,200,199.0,3.270371
636,54771,244,243.0,8.683692
637,54865,94,93.0,1.5875511
638,58490,3625,3624.0,1.0517857
639,58757,267,266.0,0.76641846
640,59182,425,424.0,1.0741181
641,60600,1418,1417.0,2.0521603
642,60863,263,262.0,5.4180717
643,61053,190,189.0,8.677154
644,66319,5266,5265.0,3.8844156
645,69589,3270,3269.0,1.176886
646,70233,644,643.0,2.6005373
647,70737,504,503.0,2.7270145
648,71519,782,781.0,6.7071857
649,72348,829,828.0,269.95944
650,72605,257,256.0,0.7003547
651,72860,255,254.0,2.6962073
652,74765,1905,1904.0,13.217557
653,81297,6532,6531.0,1.4801084
654,81985,688,687.0,3.1646476
655,93406,11421,11420.0,1.4139514
656,94928,1522,1521.0,1.2614535
657,95019,91,90.0,9.062718
658,95625,606,605.0,4.583545
659,95702,77,76.0,6.031747
660,95989,287,286.0,7.5312653
661,96195,206,205.0,3.9982076
662,96341,146,145.0,158.22879
663,96415,74,73.0,1.8250312
664,96597,182,181.0,3.0624435
665,96713,116,115.0,3.802312
666,96918,205,204.0,4.02804
667,97266,348,347.0,25.591927
668,97451,185,184.0,5.0523005
669,97585,134,133.0,0.81592655
670,98047,462,461.0,0.9522453
671,98417,370,369.0,1.8630503
672,98706,289,288.0,0.62248075
673,98910,204,203.0,1.977141
674,99159,249,248.0,1.4575814
675,99327,168,167.0,0.66511
676,99340,13,12.0,49.05226
677,99372,32,31.0,0.6822004
678,99646,274,273.0,2.5740795
679,99983,337,336.0,304.86484
680,100050,67,66.0,2.1451564
681,100098,48,47.0,1.7347404
682,100382,284,283.0,0.6661223
683,100562,180,179.0,1.0592935
684,100751,189,188.0,2.6864088
685,100895,144,143.0,0.86645156
686,100908,13,12.0,1.7344809
687,101138,230,229.0,1.3332504
688,101507,369,368.0,2.1305864
689,101558,51,50.0,2.5345101
690,101800,242,241.0,7.0807123
691,102016,216,215.0,3.9587753
692,102202,186,185.0,3.919976
693,102340,138,137.0,0.7353575
694,102530,190,189.0,1.5469041
695,102765,235,234.0,59.197815
696,103224,459,458.0,4.332867
697,103298,74,73.0,2.0028582
698,103599,301,300.0,1.848081
699,103823,224,223.0,6.361446
700,104565,742,741.0,1.3761075
701,104770,205,204.0,4.6377296
702,105184,414,413.0,37.326675
703,105365,181,180.0,0.748466
704,106093,728,727.0,3.0718148
705,107945,1852,1851.0,1.9157014
706,108432,487,486.0,1.2679172
707,109194,762,761.0,1.4159907
708,109887,693,692.0,12.01538
709,110545,658,657.0,1.1257935
710,111120,575,574.0,0.87687
711,111239,119,118.0,3.857365
712,111301,62,61.0,0.73873544
713,111501,200,199.0,4.6182632
714,111942,441,440.0,0.7361602
715,112437,495,494.0,1.2140666
716,113383,946,945.0,14.201519
717,113592,209,208.0,5.3798203
718,113618,26,25.0,2.3302228
719,113791,173,172.0,0.36525336
720,113962,171,170.0,0.51490986
721,114507,545,544.0,1.7988515
722,114695,188,187.0,0.7516085
723,115166,471,470.0,2.9120038
724,115249,83,82.0,0.88315606
725,115787,538,537.0,0.25722465
726,115830,43,42.0,0.16284725
727,115994,164,163.0,1.6506358
728,116011,17,16.0,2.4980757
729,116095,84,83.0,3.6068182
730,116312,217,216.0,2.9188955
731,116583,271,270.0,4.7877026
732,116644,61,60.0,1.0006227
733,117070,426,425.0,2.2473824
734,117303,233,232.0,0.9732257
735,117497,194,193.0,12.205487
736,117689,192,191.0,1.3336245
737,117786,97,96.0,3.0184038
738,117927,141,140.0,13.293856
739,118082,155,154.0,5.0734286
740,118516,434,433.0,1.0790241
741,118526,10,9.0,0.6724092
742,118913,387,386.0,5.711829
743,118995,82,81.0,0.23795341
744,119212,217,216.0,0.30382693
745,119393,181,180.0,9.296824
746,119547,154,153.0,0.80506957
747,119663,116,115.0,0.7740378
748,119686,23,22.0,7.503196
749,119716,30,29.0,139.61317
750,119736,20,19.0,7.37308
751,119751,15,14.0,3.0924568
752,119772,21,20.0,0.78029525
753,119907,135,134.0,1.8352225
754,120508,601,600.0,5.2909756
755,120614,106,105.0,12.565582
756,120645,31,30.0,8.399405
757,120665,20,19.0,3.8201008
758,120686,21,20.0,1.4916136
759,120706,20,19.0,16.196123
760,120740,34,33.0,0.7612073
761,120761,21,20.0,2.4408839
762,120790,29,28.0,4.362013
763,121088,298,297.0,15.291702
764,121222,134,133.0,4.8006296
765,121268,46,45.0,7.1589
766,121407,139,138.0,4.944107
767,121609,202,201.0,9.407843
768,121647,38,37.0,1.7613938
769,122462,815,814.0,0.4554751
770,122571,109,108.0,0.6831281
771,122583,12,11.0,1.8713084
772,122614,31,30.0,0.44108987
773,122723,109,108.0,0.6367051
774,122841,118,117.0,2.3354661
775,122955,114,113.0,0.6416462
776,123134,179,178.0,3.6575572
777,123182,48,47.0,2.2907777
778,123283,101,100.0,1.4429241
779,123314,31,30.0,3.207666
780,123419,105,104.0,0.27637902
781,123547,128,127.0,1.387132
782,123695,148,147.0,1.9824548
783,123854,159,158.0,0.3912949
784,123954,100,99.0,1.568199
785,124017,63,62.0,2.2332458
786,124036,19,18.0,1.4269402
787,124165,129,128.0,2.3961067
788,124229,64,63.0,6.8493667
789,124382,153,152.0,5.486739
790,124552,170,169.0,3.8998623
791,124690,138,137.0,6.6794167
792,124850,160,159.0,3.7329648
793,124994,144,143.0,1.7541144
794,125020,26,25.0,1.2844431
795,125141,121,120.0,7.1106267
796,125771,630,629.0,1.479595
797,126187,416,415.0,0.27189797
798,126508,321,320.0,2.3246467
799,127520,1012,1011.0,0.95809275
800,127646,126,125.0,0.85103005
801,127771,125,124.0,74.46766
802,127890,119,118.0,1.3061295
803,128015,125,124.0,0.54689556
804,128093,78,77.0,3.9911666
805,128113,20,19.0,4.5146446
806,128140,27,26.0,2.9897866
807,128163,23,22.0,3.776804
808,128179,16,15.0,1.1516409
809,128191,12,11.0,0.75392264
810,128303,112,111.0,2.0328798
811,128341,38,37.0,3.1386545
812,128363,22,21.0,0.32891303
813,128410,47,46.0,2.2721481
814,128433,23,22.0,6.6798463
815,128451,18,17.0,6.091263
816,128474,23,22.0,6.014812
817,128506,32,31.0,1.6762462
818,128672,166,165.0,1.3146228
819,128737,65,64.0,1.4975253
820,128848,111,110.0,1.9740982
821,128873,25,24.0,1.6618341
822,129072,199,198.0,4.950219
823,129315,243,242.0,143.34933
824,129452,137,136.0,11.009296
825,129577,125,124.0,3.734386
826,129687,110,109.0,1.0233419
827,129781,94,93.0,1.1471889
828,129885,104,103.0,1.783048
829,129975,90,89.0,1.0378929
830,130082,107,106.0,2.6862497
831,130192,110,109.0,1.5062475
832,130403,211,210.0,4.2451353
833,130525,122,121.0,3.7579825
834,131157,632,631.0,6.7901187
835,131455,298,297.0,4.9696555
836,131624,169,168.0,5.3705325
837,131775,151,150.0,270.61966
838,131812,37,36.0,5.648127
839,131859,47,46.0,1.2137694
840,131897,38,37.0,1.0519228
841,132110,213,212.0,3.0984082
842,132122,12,11.0,4.523082
843,132168,46,45.0,230.66176
844,132545,377,376.0,5.9492903
647,70765,765,764.0,3.5749164
647,70809,809,808.0,3.106761
648,71023,214,213.0,8.733276
649,71099,76,75.0,3.0650616
650,73565,2466,2465.0,5.7607646
651,73692,127,126.0,8.268127
652,75286,1594,1593.0,4.8520684
653,82781,7495,7494.0,2.2297587
