EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
248,5400,23,explore,0.9639099999999862,0,23.0,[[6.6802707 6.672127 ]],20.73,0.2630313928425312
248,5410,33,explore,0.9630099999999858,1,32.0,[[6.6802707 6.672127 ]],20.73,0.4162234880030155
249,5432,22,explore,0.9610299999999851,1,21.0,[[6.505626 6.746901]],20.89,0.2656879039853811
250,5506,74,explore,0.9543699999999825,0,73.0,[[7.2497125 7.1382937]],20.76,0.9471732214465738
251,5521,15,explore,0.953019999999982,1,14.0,-1,21.22,0.12646457549184562
252,5546,25,explore,0.9507699999999811,1,24.0,[[8.052799  7.4861465]],21.14,0.3523823057115078
253,5560,14,explore,0.9495099999999806,0,13.0,[[7.224974  7.2508974]],21.28,0.18084649845957756
254,5600,40,explore,0.9459099999999793,0,40.0,[[8.1009655 8.064985 ]],21.3,0.6356181759759784
254,5603,43,explore,0.9456399999999792,0,42.0,[[8.1009655 8.064985 ]],21.3,0.6822545061632991
255,5621,18,explore,0.9440199999999785,0,17.0,-1,21.62,0.29807149201631544
256,5637,16,explore,0.942579999999978,0,15.0,[[8.98548  8.590962]],21.3,0.23352981731295586
257,5660,23,explore,0.9405099999999772,0,22.0,[[10.000049  9.716192]],21.24,0.36343794137239455
258,5687,27,explore,0.9380799999999763,0,26.0,[[9.158662 8.664302]],21.3,0.5351133851706982
259,5729,42,explore,0.9342999999999748,0,41.0,[[6.3937206 6.469736 ]],21.43,0.5322549161314964
260,5741,12,explore,0.9332199999999744,0,11.0,[[6.6307    7.1699066]],21.54,0.16101038813591004
261,5761,20,explore,0.9314199999999737,0,19.0,[[8.675558 8.31535 ]],21.26,0.29157401993870735
262,5784,23,explore,0.9293499999999729,1,22.0,[[7.895696  7.3734546]],21.29,0.33687746942043306
263,5793,9,explore,0.9285399999999726,1,8.0,[[3.5762248 6.559186 ]],21.42,0.1276744285225868
264,5800,7,explore,0.9279099999999724,0,7.0,[[11.707067 11.996786]],21.33,0.08608904749155044
264,5833,40,explore,0.9249399999999712,1,39.0,[[11.707067 11.996786]],21.33,0.6594015771150589
265,5854,21,explore,0.9230499999999705,1,20.0,[[5.697312  7.5143604]],21.57,0.31221156403422357
266,5890,36,explore,0.9198099999999693,0,35.0,[[13.0113735 14.338088 ]],21.49,0.7413574370741844
267,5907,17,explore,0.9182799999999687,1,16.0,-1,21.58,0.29645544946193697
268,5923,16,explore,0.9168399999999681,1,15.0,[[15.186918 14.735602]],21.6,0.39796403884887693
269,5936,13,explore,0.9156699999999677,0,12.0,[[13.880682 14.604161]],21.61,0.26796994745731356
270,5956,20,explore,0.913869999999967,0,19.0,[[17.16781  16.762238]],21.63,0.3771472659707069
271,6000,44,explore,0.9099099999999655,1,44.0,[[13.179923 14.256309]],21.26,0.7810094153881073
271,6012,56,explore,0.908829999999965,1,55.0,[[17.995174 16.394173]],21.26,1.0628859457373618
272,6026,14,explore,0.9075699999999646,0,13.0,-1,21.42,0.2500908300280571
273,6040,14,explore,0.9063099999999641,1,13.0,[[17.10945 16.08815]],21.33,0.34471371948719026
274,6057,17,explore,0.9047799999999635,0,16.0,[[5.9127    3.9335155]],21.35,0.40849322617053985
275,6088,31,explore,0.9019899999999624,0,30.0,[[16.036356 14.457742]],21.38,0.6246273010969162
276,6120,32,explore,0.8991099999999613,1,31.0,[[17.359774 17.72955 ]],21.49,0.8573971316218376
277,6137,17,explore,0.8975799999999607,0,16.0,[[16.028801 18.566685]],21.54,0.4000846430659294
278,6167,30,explore,0.8948799999999597,0,29.0,[[17.16699  18.595938]],21.53,0.6455769580602646
279,6184,17,explore,0.8933499999999591,0,16.0,[[9.2819195 6.098542 ]],21.71,0.31366929173469543
280,6200,16,explore,0.8919099999999586,0,16.0,[[18.895096 19.65584 ]],21.73,0.42551723659038543
280,6204,20,explore,0.8915499999999584,0,19.0,[[18.895096 19.65584 ]],21.73,0.5555338698625565
281,6229,25,explore,0.8892999999999576,1,24.0,[[22.117926 22.252512]],21.75,0.7074047023057938
282,6248,19,explore,0.8875899999999569,0,18.0,[[20.42478  22.156664]],21.87,0.5562341976165771
283,6292,44,explore,0.8836299999999554,0,43.0,[[19.81984 20.03142]],21.82,1.14470828384161
284,6316,24,explore,0.8814699999999546,0,23.0,[[ 6.9507384 10.459983 ]],21.97,0.774374774992466
285,6347,31,explore,0.8786799999999535,0,30.0,[[25.082195 24.5639  ]],21.99,1.2532679557800293
286,6400,53,explore,0.8739099999999517,0,53.0,[[21.425234 20.926107]],22.15,1.2788303360342979
286,6412,65,explore,0.8728299999999513,0,64.0,[[0.15889436 4.213117  ]],22.15,1.5824145355820656
287,6462,50,explore,0.8683299999999495,1,49.0,[[23.601023 22.569412]],22.46,1.1556489770114422
288,6478,16,explore,0.866889999999949,1,15.0,-1,22.76,0.3255781099200249
289,6494,16,explore,0.8654499999999484,0,15.0,[[13.628022 16.760056]],22.61,0.33098764061927793
290,6509,15,explore,0.8640999999999479,1,14.0,[[5.2212396 9.771041 ]],22.67,0.3464638060331345
291,6531,22,explore,0.8621199999999472,0,21.0,[[10.208003   5.8381505]],22.32,0.6210895386338234
292,6559,28,explore,0.8595999999999462,0,27.0,[[27.44643  26.489756]],22.32,0.9065948566794395
293,6600,41,explore,0.8559099999999448,0,41.0,[[26.70678 26.01187]],22.45,1.206339536011219
293,6633,74,explore,0.8529399999999436,0,73.0,[[15.871568 11.509048]],22.45,2.0107754564285276
294,6651,18,explore,0.851319999999943,0,17.0,[[10.028019 16.409765]],22.92,0.7057151907682419
295,6673,22,explore,0.8493399999999423,1,21.0,[[19.518408 17.726309]],22.97,0.6567943501472473
296,6745,72,explore,0.8428599999999398,0,71.0,[[21.877434 19.797915]],22.84,1.8906949400901794
297,6771,26,explore,0.8405199999999389,1,25.0,[[20.255985 17.577972]],23.27,0.6173723778128624
298,6800,29,explore,0.8379099999999379,1,29.0,[[13.256716 18.928883]],23.43,1.3517457076907158
298,6804,33,explore,0.8375499999999377,1,32.0,[[13.256716 18.928883]],23.43,1.4935463258624078
299,6818,14,explore,0.8362899999999373,1,13.0,[[0.7759234 4.8627925]],23.58,0.5635645687580109
300,6854,36,explore,0.833049999999936,1,35.0,[[ 7.558402 13.607662]],23.56,1.202310590147972
301,6890,36,explore,0.8298099999999348,1,35.0,[[29.63147  26.068283]],23.77,1.1265605425834655
302,6966,76,explore,0.8229699999999321,0,75.0,[[31.73367 31.37071]],23.68,2.063895124197006
303,6988,22,explore,0.8209899999999314,1,21.0,[[27.43193 30.70034]],24.07,0.31797238141298295
304,7000,12,explore,0.819909999999931,1,12.0,[[33.078793 33.27728 ]],24.18,0.22407296031713486
304,7014,26,explore,0.8186499999999305,1,25.0,[[ 6.4085226 11.305269 ]],24.18,0.5440358033776284
305,7041,27,explore,0.8162199999999296,0,26.0,[[ 8.933859 11.614328]],24.31,0.6745850706100464
306,7064,23,explore,0.8141499999999288,1,22.0,[[14.11158   7.345014]],24.41,0.7546138441562653
307,7079,15,explore,0.8127999999999282,1,14.0,[[11.113946   2.6482093]],24.45,0.29424458980560303
308,7095,16,explore,0.8113599999999277,0,15.0,[[20.53787  12.251999]],24.32,0.6349541211128235
309,7188,93,explore,0.8029899999999245,1,92.0,[[0.6557694 4.780949 ]],24.38,2.841331549882889
310,7200,12,explore,0.8019099999999241,1,12.0,[[35.583267 37.833534]],25.15,0.6585018247365951
310,7220,32,explore,0.8001099999999234,1,31.0,[[16.173225 22.838634]],25.15,1.3715642088651656
311,7265,45,explore,0.7960599999999218,1,44.0,[[ 9.821422 17.715107]],25.3,1.4428930482268334
312,7282,17,explore,0.7945299999999212,1,16.0,[[0.7560987 6.736584 ]],25.65,0.5846336382627487
313,7303,21,explore,0.7926399999999205,0,20.0,[[37.994263 38.19762 ]],25.46,0.7091961067914963
314,7322,19,explore,0.7909299999999199,1,18.0,[[20.901611 29.824558]],25.46,1.1532201945781708
315,7337,15,explore,0.7895799999999193,1,14.0,[[43.86818  39.659676]],25.53,0.741704329252243
316,7385,48,explore,0.7852599999999177,1,47.0,[[ 4.5021024 13.494112 ]],25.39,3.0694271075725554
317,7400,15,explore,0.7839099999999172,0,15.0,[[43.5684   37.952564]],25.76,0.6307898354530335
317,7486,101,explore,0.7761699999999142,0,100.0,[[ 2.7938085 -2.090002 ]],25.76,3.6098041731119155
318,7516,30,explore,0.7734699999999132,0,29.0,[[41.034523 43.276623]],26.61,1.1352006816864013
319,7600,84,explore,0.7659099999999103,0,84.0,[[43.261242 42.669937]],26.74,3.750741617679596
319,7652,136,explore,0.7612299999999085,0,135.0,[[-0.8802099  6.8975306]],26.74,5.847347013950348
320,7673,21,explore,0.7593399999999078,0,20.0,[[ 5.719302 17.036697]],27.93,0.673636035323143
321,7742,69,explore,0.7531299999999054,0,68.0,[[ 2.5536258 11.091184 ]],27.98,3.7292926472425463
322,7769,27,explore,0.7506999999999044,0,26.0,[[-3.6122022  1.5237858]],28.18,1.2805118668079376
323,7800,31,explore,0.7479099999999034,1,31.0,[[36.865143 44.252487]],28.07,1.1408979552984237
323,7832,63,explore,0.7450299999999023,0,62.0,[[17.09019   9.219041]],28.07,2.411151426434517
324,7906,74,explore,0.7383699999998997,1,73.0,[[1.9349139 8.122539 ]],28.59,2.6080218201875685
325,7933,27,explore,0.7359399999998988,1,26.0,[[29.804384 20.020123]],29.21,0.7699055051803589
326,8000,67,explore,0.7299099999998965,0,67.0,[[38.41192 27.00289]],29.34,1.5132295906543731
326,8058,125,explore,0.7246899999998945,1,124.0,[[49.761787 45.97625 ]],29.34,3.4053140407800675
327,8070,12,explore,0.7236099999998941,1,11.0,[[-4.238295  -1.3608303]],30.2,0.26020075380802155
328,8158,88,explore,0.715689999999891,1,87.0,[[11.600792 24.800394]],30.09,2.1049556535482408
329,8200,42,explore,0.7119099999998896,0,42.0,[[26.286608 39.59406 ]],30.84,0.9839208847284318
329,8294,136,explore,0.7034499999998863,0,135.0,[[ 4.379397  -3.3867435]],30.84,3.1598596584796907
330,8400,106,explore,0.6939099999998827,0,106.0,[[50.00668  49.034863]],32.01,3.0870268630981443
330,8417,123,explore,0.6923799999998821,0,122.0,[[22.029753  9.292146]],32.01,3.3588757526874544
331,8525,108,explore,0.6826599999998784,1,107.0,[[43.033737 49.929844]],32.99,3.4271897572278975
