#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
331,8525,108,107.0,3.4271897572278975
332,8680,155,154.0,4.080460622310638
333,8793,113,112.0,4.024760067462921
334,8842,49,48.0,1.6812293243408203
335,8975,133,132.0,5.750524393320084
336,9012,37,36.0,1.2051498198509216
337,9025,13,12.0,0.6259274423122406
338,9144,119,118.0,5.558036568164826
339,9164,20,19.0,0.8295132887363433
340,9249,85,84.0,4.26513963341713
341,9336,87,86.0,4.059296393394471
342,9355,19,18.0,0.945763955116272
343,9365,10,9.0,0.4146326053142548
344,9386,21,20.0,2.0427018010616305
345,9512,126,125.0,5.88182186126709
346,9629,117,116.0,7.783520203828812
347,9734,105,104.0,7.061937445402146
348,9756,22,21.0,1.917392179965973
349,9810,54,53.0,3.0969032073020935
350,9827,17,16.0,0.7982508230209351
351,9907,80,79.0,5.1137011218070985
352,9950,43,42.0,1.9529439306259155
353,9961,11,10.0,0.7978285264968872
354,10058,97,96.0,7.267311314344406
355,10141,83,82.0,4.883024034500122
356,10235,94,93.0,4.738331842422485
357,10387,152,151.0,8.517676709294319
358,10486,99,98.0,5.417420076131821
359,10509,23,22.0,1.3073951756954194
360,10521,12,11.0,0.8380897188186646
361,10585,64,63.0,3.4506651413440705
362,10725,140,139.0,11.321548793315888
363,10814,89,88.0,7.6846612095832825
364,10898,84,83.0,6.6456453120708465
365,10924,26,25.0,1.1145282125473022
366,11122,198,197.0,16.403318445682526
367,11134,12,11.0,0.8056521821022034
368,11201,67,66.0,5.9246874833106995
369,11347,146,145.0,11.520354979038238
370,11403,56,55.0,4.683616272211075
371,11512,109,108.0,10.229963836669922
372,11630,118,117.0,8.851882331371307
373,11692,62,61.0,3.91052824139595
374,11836,144,143.0,14.818501728773118
375,11895,59,58.0,6.074214864969253
376,12024,129,128.0,15.758778725862504
377,12159,135,134.0,16.553880307674408
378,12178,19,18.0,2.147556858062744
379,12203,25,24.0,2.9515957117080687
380,12410,207,206.0,17.772728509902954
381,12869,459,458.0,13.137302668690682
382,12974,105,104.0,11.253437951803207
383,13062,88,87.0,5.175598559379577
384,13142,80,79.0,10.277885144948959
385,13261,119,118.0,15.86643357872963
386,13408,147,146.0,16.32913575232029
387,13619,211,210.0,21.678118677735327
